old,new,phase,confidence,status,notes
Class14_Sub3,OpenGLxTexture3D,core,high,approved,Imported from legacy classes map
Class14_Sub4,OpenGLxTextureRectangle,core,high,approved,Imported from legacy classes map
Class15,CharCountUtil,core,high,approved,Imported from legacy classes map
Class150,IDKTypeList,core,high,approved,Imported from legacy classes map
Class151,MinimapSpriteUtil,core,high,approved,Imported from legacy classes map
Class152,GzipDecompressor,core,high,approved,Imported from legacy classes map
Class153,MapElementTypeList,core,high,approved,Imported from legacy classes map
Class154,PlayerModelOverrides,core,high,approved,Imported from legacy classes map
Class155,WidgetActionPacketSender,core,high,approved,Imported from legacy classes map
Class156,SecondaryNodeIterator,core,high,approved,Iterator over SecondaryNodeList nodes; statics moved to domain owners
Class157,CacheIndexCrcUtil,core,high,approved,Imported from legacy classes map
Class158,LoadingScreenTextLayout,core,high,approved,Imported from legacy classes map
Class159,VarPlayerType,core,high,approved,Imported from legacy classes map
Class16,SceneTilePlaneShift,core,high,approved,Imported from legacy classes map
Class160,VarcType,core,high,approved,Imported from legacy classes map
Class161,ServerEndpoint,core,high,approved,Imported from legacy classes map
Class162,ModelBillboardAttachment,core,high,approved,Imported from legacy classes map
Class163,AudioResampler,core,high,approved,Imported from legacy classes map
Class164,LoadStateProcessor,core,high,approved,Imported from legacy classes map
Class165,CursorManager,core,high,approved,Imported from legacy classes map
Class166,CursorTypeList,core,high,approved,Imported from legacy classes map
Class167,SoftwareRenderThreadContext,core,high,approved,Imported from legacy classes map
Class168,HotSpotDiagnosticBridge,core,high,approved,Imported from legacy classes map
Class169,PingRequester,core,high,approved,Imported from legacy classes map
Class17,SeqType,core,high,approved,Imported from legacy classes map
Class170,VarDomainImpl,core,high,approved,Imported from legacy classes map
Class171,OpenGLArbProgram,core,high,approved,Imported from legacy classes map
Class172,MidiPcmStreamUtil,core,high,approved,Imported from legacy classes map
Class173,ByteArrayUtil,core,high,approved,Imported from legacy classes map
Class174,ParticleEffectorType,core,high,approved,Imported from legacy classes map
Class175,ReferenceCache,core,high,approved,Imported from legacy classes map
Class176,PacketBufferNodePool,core,high,approved,Imported from legacy classes map
Class177,LoadingScreenSolidFillOp,core,high,approved,Imported from legacy classes map
Class178,ItemSearchUtil,core,high,approved,Imported from legacy classes map
Class179,StringArrayBuilder,core,high,approved,Imported from legacy classes map
Class18,OpenGLPostProcessingPipeline,core,high,approved,Imported from legacy classes map
Class180,DirtyRectangles,core,high,approved,Imported from legacy classes map
Class181,ParticleEmitterType,core,high,approved,Imported from legacy classes map
Class182,LoginTokenUtil,core,high,approved,Imported from legacy classes map
Class183,FloorUnderlayTypeList,core,high,approved,Imported from legacy classes map
Class184,WorldListDecoder,core,high,approved,Imported from legacy classes map
Class185,LightTypeList,core,high,approved,Imported from legacy classes map
Class186,OverheadTextTimeoutUtil,core,high,approved,Imported from legacy classes map
Class186_Sub1,PerlinNoiseGenerator,core,high,approved,Imported from legacy classes map
Class187,QuestTypeList,core,high,approved,Imported from legacy classes map
Class188,OpenGLNormalMapGenerator,core,high,approved,Imported from legacy classes map
Class189,BillboardType,core,high,approved,Imported from legacy classes map
Class19,OverheadTextRenderer,core,high,approved,Imported from legacy classes map
Class190,SceneEnvironmentSettings,core,high,approved,Imported from legacy classes map
Class191,IntImageCache,core,high,approved,Imported from legacy classes map
Class192,NativeIndexBufferCache,core,high,approved,Imported from legacy classes map
Class193,PcmPlayerFactory,core,high,approved,Imported from legacy classes map
Class194,VarBitTypeList,core,high,approved,Imported from legacy classes map
Class195,LoadingScreenImpl,core,high,approved,Imported from legacy classes map
Class196,ToolkitState,core,high,approved,Imported from legacy classes map
Class197,AudioEnvelope,core,high,approved,Imported from legacy classes map
Class198,TerrainTileMesh,core,high,approved,Imported from legacy classes map
Class199,AwtLoadingBarRenderer,core,high,approved,Imported from legacy classes map
Class2,ModelWithShadow,core,high,approved,Imported from legacy classes map
Class20,PacketConstants,core,high,approved,Imported from legacy classes map
Class200,QuickChatResources,core,high,approved,Imported from legacy classes map
Class201,FileCache,core,high,approved,Imported from legacy classes map
Class202,BufferedSocket,core,high,approved,Imported from legacy classes map
Class203,PacketBufferNodeFactory,core,high,approved,Imported from legacy classes map
Class204,MidiFileParser,core,high,approved,Imported from legacy classes map
Class205,RasterCircle,core,high,approved,Imported from legacy classes map
Class206,OpenGLFramebuffer,core,high,approved,Imported from legacy classes map
Class207,IndexedSprite,core,high,approved,Imported from legacy classes map
Class208,ClientStreamWriter,core,high,approved,Imported from legacy classes map
Class209,MusicStreamGlobals,core,high,approved,Imported from legacy classes map
Class21,SpriteResources,core,high,approved,Imported from legacy classes map
Class210,VorbisFloor,core,high,approved,Imported from legacy classes map
Class211,SceneLightAnimator,core,high,approved,Imported from legacy classes map
Class212,BZip2Decompressor,core,high,approved,Imported from legacy classes map
Class213,ItemType,core,high,approved,Imported from legacy classes map
Class214,ArrayUtils,core,high,approved,Imported from legacy classes map
Class215,ClientCanvasResizer,core,high,approved,Imported from legacy classes map
Class216,FloatGrid,core,high,approved,Imported from legacy classes map
Class217,VarPlayerTypeList,core,high,approved,Imported from legacy classes map
Class218,MapSceneType,core,high,approved,Imported from legacy classes map
Class219,HitmarkTypeList,core,high,approved,Imported from legacy classes map
Class22,FloorUnderlayType,core,high,approved,Imported from legacy classes map
Class220,SinCosTables256,core,high,approved,Imported from legacy classes map
Class221,HorizontalAlignment,core,high,approved,Imported from legacy classes map
Class222,CursorType,core,high,approved,Imported from legacy classes map
Class223,AmbientSoundManager,core,high,approved,Imported from legacy classes map
Class224,JavascriptBridge,core,high,approved,Imported from legacy classes map
Class225,BASType,core,high,approved,Imported from legacy classes map
Class226,QuickChatCatTypeList,core,high,approved,Imported from legacy classes map
Class227,WindowMode,core,high,approved,Imported from legacy classes map
Class228,NativeLibraryUnloadUtil,core,high,approved,Imported from legacy classes map
Class229,GameClockFactory,core,high,approved,Imported from legacy classes map
Class23,MusicPatchNode2,core,high,approved,Imported from legacy classes map
Class230,ModeGame,core,high,approved,Imported from legacy classes map
Class231,ModeWhat,core,high,approved,Imported from legacy classes map
Class232,OpenGLAlphaMaskTile,core,high,approved,Imported from legacy classes map
Class233,OpenGLParticleRenderer,core,high,approved,Imported from legacy classes map
Class234,FileOnDisk,core,high,approved,Imported from legacy classes map
Class235,ObjectModelAnimator,core,high,approved,Imported from legacy classes map
Class236,ShapedTile,core,high,approved,Imported from legacy classes map
Class237,MapRegion,core,high,approved,Imported from legacy classes map
Class237_Sub1,MapRegionBuilder,core,high,approved,Imported from legacy classes map
Class238,Connection,core,high,approved,Imported from legacy classes map
Class238_Sub1,SocketConnection,core,high,approved,Imported from legacy classes map
Class239,ClientPreference,core,high,approved,Imported from legacy classes map
Class239_Sub1,FlickeringEffectsPreference,core,high,approved,Imported from legacy classes map
Class239_Sub10,BrightnessPreference,core,high,approved,Imported from legacy classes map
Class239_Sub11,SafeModePreference,core,high,approved,Imported from legacy classes map
Class239_Sub12,BloomPreference,core,high,approved,Imported from legacy classes map
Class239_Sub13,IdleAnimationsPreference,core,high,approved,Imported from legacy classes map
Class239_Sub14,RoofsPreference,core,high,approved,Imported from legacy classes map
Class239_Sub15,ParticlesPreference,core,high,approved,Imported from legacy classes map
Class239_Sub16,FogPreference,core,high,approved,Imported from legacy classes map
Class239_Sub17,CpuUsagePreference,core,high,approved,Imported from legacy classes map
Class239_Sub18,WaterDetailPreference,core,high,approved,Imported from legacy classes map
Class239_Sub19,LoadingScreenPreference,core,high,approved,Imported from legacy classes map
Class239_Sub2,LowMemoryTextureResolutionPreference,core,high,approved,Imported from legacy classes map
Class239_Sub20,AntiAliasingPreference,core,high,approved,Imported from legacy classes map
Class239_Sub21,CharacterShadowsPreference,core,high,approved,Imported from legacy classes map
Class239_Sub22,CustomCursorsPreference,core,high,approved,Imported from legacy classes map
Class239_Sub23,ScreenSizePreference,core,high,approved,Imported from legacy classes map
Class239_Sub24,TexturesPreference,core,high,approved,Imported from legacy classes map
Class239_Sub25,GraphicsRendererPreference,core,high,approved,Imported from legacy classes map
Class239_Sub26,VolumePreference,core,high,approved,Imported from legacy classes map
Class239_Sub27,RenderAllLevelsPreference,core,high,approved,Imported from legacy classes map
Class239_Sub28,DynamicLightingPreference,core,high,approved,Imported from legacy classes map
Class239_Sub29,UnknownPreference29,core,high,approved,Imported from legacy classes map
Class239_Sub3,OrthographicModePreference,core,high,approved,Imported from legacy classes map
Class239_Sub4,GroundDecorationsPreference,core,high,approved,Imported from legacy classes map
Class239_Sub5,StereoSoundPreference,core,high,approved,Imported from legacy classes map
Class239_Sub6,BuildAreaPreference,core,high,approved,Imported from legacy classes map
Class239_Sub7,SceneryShadowsPreference,core,high,approved,Imported from legacy classes map
Class239_Sub8,WindowModePreference,core,high,approved,Imported from legacy classes map
Class239_Sub9,HighDetailRenderingPreference,core,high,approved,Imported from legacy classes map
Class24,ClientCaches,core,high,approved,Imported from legacy classes map
Class240,TooltipRenderer,core,high,approved,Imported from legacy classes map
Class241,GameClock,core,high,approved,Imported from legacy classes map
Class241_Sub1,SafeTimeNanoClock,core,high,approved,Imported from legacy classes map
Class241_Sub2,JagmiscNanoClock,core,high,approved,Imported from legacy classes map
Class241_Sub3,SystemNanoClock,core,high,approved,Imported from legacy classes map
Class242,OpenGLShader,core,high,approved,Imported from legacy classes map
Class243,LinkDeque,core,high,approved,Imported from legacy classes map
Class244,TextureProvider,core,high,approved,Imported from legacy classes map
Class245,DoublyLinkedNodeUtil,core,high,approved,Imported from legacy classes map
Class246,ReferenceNodeFactory,core,high,approved,Imported from legacy classes map
Class246_Sub1,SoftReferenceNodeFactory,core,high,approved,Imported from legacy classes map
Class247,HslToRgb,core,high,approved,Imported from legacy classes map
Class248,Js5NetQueue,core,high,approved,Imported from legacy classes map
Class249,TileRotation,core,high,approved,Imported from legacy classes map
Class25,SkyBoxSphereTypeList,core,high,approved,Imported from legacy classes map
Class250,AudioThread,core,high,approved,Imported from legacy classes map
Class251,WidgetRedraw,core,high,approved,Imported from legacy classes map
Class252,WorldMapElementList,core,high,approved,Imported from legacy classes map
Class253,LightType,core,high,approved,Imported from legacy classes map
Class254,ParamType,core,high,approved,Imported from legacy classes map
Class255,ItemTypeList,core,high,approved,Imported from legacy classes map
Class256,ParticleEffectorTypeList,core,high,approved,Imported from legacy classes map
Class257,NativeResourceDisposerQueue,core,high,approved,Imported from legacy classes map
Class258,OpenGLTexture,core,high,approved,Imported from legacy classes map
Class258_Sub1,OpenGLTexture3D,core,high,approved,Imported from legacy classes map
Class258_Sub2,OpenGLCubeMapTexture,core,high,approved,Imported from legacy classes map
Class258_Sub3,OpenGLTexture2D,core,high,approved,Imported from legacy classes map
Class258_Sub3_Sub1,OpenGLSubTexture2D,core,high,approved,Imported from legacy classes map
Class258_Sub4,OpenGLTexture1D,core,high,approved,Imported from legacy classes map
Class259,VarcTypeList,core,high,approved,Imported from legacy classes map
Class26,SoundCache,core,high,approved,Imported from legacy classes map
Class260,ClientStepUtil,core,high,approved,Imported from legacy classes map
Class261,BASTypeList,core,high,approved,Imported from legacy classes map
Class262,NodeDeque,core,high,approved,Imported from legacy classes map
Class263,ObjectTypeList,core,high,approved,Imported from legacy classes map
Class264,SmoothAngleInterpolator,core,high,approved,Imported from legacy classes map
Class265,LoadingScreenFullscreenSpriteOp,core,high,approved,Imported from legacy classes map
Class266,GroundTilePaint,core,high,approved,Imported from legacy classes map
Class267,ResourceSlot,core,high,approved,Imported from legacy classes map
Class268,FloorOverlayTypeList,core,high,approved,Imported from legacy classes map
Class269,WaterNormalMapResources,core,high,approved,Imported from legacy classes map
Class27,Base37Util,core,high,approved,Imported from legacy classes map
Class270,TileScale,core,high,approved,Imported from legacy classes map
Class271,InvTypeList,core,high,approved,Imported from legacy classes map
Class272,SocketFactory,core,high,approved,Imported from legacy classes map
Class272_Sub1,DirectSocketFactory,core,high,approved,Imported from legacy classes map
Class272_Sub2,ProxySocketFactory,core,high,approved,Imported from legacy classes map
Class273,ClientScriptTrigger,core,high,approved,Imported from legacy classes map
Class274,LocalisedText,core,high,approved,Imported from legacy classes map
Class275,SceneHeight,core,high,approved,Imported from legacy classes map
Class276,VorbisMapping,core,high,approved,Imported from legacy classes map
Class277,FloorOverlayType,core,high,approved,Imported from legacy classes map
Class278,NpcTypeList,core,high,approved,Imported from legacy classes map
Class279,PcmPlayer,core,high,approved,Imported from legacy classes map
Class279_Sub1,PcmPlayer_Sub1,core,high,approved,Imported from legacy classes map
Class279_Sub2,SignLinkPcmPlayer,core,high,approved,Imported from legacy classes map
Class28,ParamValueFormatter,core,high,approved,Imported from legacy classes map
Class280,NativeParticleRenderer,core,high,approved,Imported from legacy classes map
Class281,ClientStringPacketSender,core,high,approved,Imported from legacy classes map
Class282,ProjectileManager,core,high,approved,Imported from legacy classes map
Class283,RendererUpdateTracker,core,high,approved,Imported from legacy classes map
Class284,RenderBenchmark,core,high,approved,Imported from legacy classes map
Class285,OpenGLBuffer,core,high,approved,Imported from legacy classes map
Class285_Sub1,OpenGLVertexBuffer,core,high,approved,Imported from legacy classes map
Class285_Sub2,OpenGLIndexBuffer,core,high,approved,Imported from legacy classes map
Class286,OpenGLShaderEffect,core,high,approved,Imported from legacy classes map
Class286_Sub1,OpenGLWaterVertexProgramEffect,core,high,approved,Imported from legacy classes map
Class286_Sub2,OpenGLNoLightingEffect,core,high,approved,Imported from legacy classes map
Class286_Sub3,OpenGLWaterTurbulenceVertexProgramEffect,core,high,approved,Imported from legacy classes map
Class286_Sub4,OpenGLShoreWaterShaderEffect,core,high,approved,Imported from legacy classes map
Class286_Sub5,OpenGLWaterTexGenEffect,core,high,approved,Imported from legacy classes map
Class286_Sub6,OpenGLWaterShaderEffect,core,high,approved,Imported from legacy classes map
Class286_Sub7,OpenGLWaterNoiseEffect,core,high,approved,Imported from legacy classes map
Class286_Sub8,OpenGLEnvironmentMapEffect,core,high,approved,Imported from legacy classes map
Class286_Sub9,OpenGLSpecularCubeMapEffect,core,high,approved,Imported from legacy classes map
Class287,ClientHashAndSoundUtil,core,high,approved,Imported from legacy classes map
Class288,LoadingScreenSpriteLayout,core,high,approved,Imported from legacy classes map
Class288_Sub1,LoadingScreenRotatingSpriteLayout,core,high,approved,Imported from legacy classes map
Class289,ClientConnectionKeepAlive,core,high,approved,Imported from legacy classes map
Class29,IntKey,core,high,approved,Imported from legacy classes map
Class290,NativeVertexBufferCache,core,high,approved,Imported from legacy classes map
Class291,Js5Index,core,high,approved,Imported from legacy classes map
Class292,IndexProgressProvider,core,high,approved,Imported from legacy classes map
Class293,ToolkitWorkerThread,core,high,approved,Imported from legacy classes map
Class294,AwtLoadingScreen,core,high,approved,Imported from legacy classes map
Class295,TileRotation8x8,core,high,approved,Imported from legacy classes map
Class296,Huffman,core,high,approved,Imported from legacy classes map
Class297,SignLink,core,high,approved,Imported from legacy classes map
Class298,Pathfinding,core,high,approved,Imported from legacy classes map
Class299,InboundPacketBuffer,core,high,approved,Imported from legacy classes map
Class299_Sub1,OpenGLCubeMapTextureProvider,core,high,approved,Imported from legacy classes map
Class299_Sub1_Sub1,CubeMapTextureSource,core,high,approved,Imported from legacy classes map
Class299_Sub1_Sub2,CubeMapRenderer,core,high,approved,Imported from legacy classes map
Class299_Sub2,NativeCubeMapTextureProvider,core,high,approved,Imported from legacy classes map
Class299_Sub2_Sub1,NativeCubeMapTexture,core,high,approved,Imported from legacy classes map
Class3,RendererReset,core,high,approved,Imported from legacy classes map
Class30,BoundingCylinder,core,high,approved,Imported from legacy classes map
Class300,SkyBoxType,core,high,approved,Imported from legacy classes map
Class301,PerlinNoiseUtil,core,high,approved,Imported from legacy classes map
Class302,ClientFrameUpdateUtil,core,high,approved,Imported from legacy classes map
Class303,UiDispatcher,core,high,approved,Imported from legacy classes map
Class304,TextureFormat,core,high,approved,Imported from legacy classes map
Class305,SkyBox,core,high,approved,Imported from legacy classes map
Class306,SafeModeToolkitFactory,core,high,approved,Imported from legacy classes map
Class307,WorldMapStaticElementListLoader,core,high,approved,Imported from legacy classes map
Class308,LruHashTable,core,high,approved,Imported from legacy classes map
Class309,ResourceDownloadTask,core,high,approved,Imported from legacy classes map
Class31,HitmarkType,core,high,approved,Imported from legacy classes map
Class310,DirectXBaseTexture,core,high,approved,Imported from legacy classes map
Class310_Sub1,DirectXCubeTexture,core,high,approved,Imported from legacy classes map
Class310_Sub2,DirectXTexture2D,core,high,approved,Imported from legacy classes map
Class310_Sub3,DirectXVolumeTexture,core,high,approved,Imported from legacy classes map
Class311,LoadingScreenRenderer,core,high,approved,Imported from legacy classes map
Class312,DequeIterator,core,high,approved,Imported from legacy classes map
Class313,LoadingScreenSpriteBarOpType,core,high,approved,Imported from legacy classes map
Class314,Js5ArchiveProvider,core,high,approved,Imported from legacy classes map
Class314_Sub1,Js5ArchiveProviderImpl,core,high,approved,Imported from legacy classes map
Class315,ToolkitWorkQueue,core,high,approved,Imported from legacy classes map
Class316,IntHashTable,core,high,approved,Imported from legacy classes map
Class317,SoundEffect,core,high,approved,Imported from legacy classes map
Class318,DoublyLinkedNode,core,high,approved,Imported from legacy classes map
Class318_Sub1,SceneGraphNode,core,high,approved,Imported from legacy classes map
Class318_Sub10,ParticleSystem,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub1,FloorDecorationEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub1_Sub1,AnimatedFloorDecorationEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub1_Sub2,StaticFloorDecorationEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub2,GroundItemPileEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub2_Sub1,GroundItemPile,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub3,SceneEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub3_Sub1,GameObjectEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub3_Sub2,AnimatedObjectEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub3_Sub3,Actor,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub3_Sub4,GraphicsObject,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub3_Sub5,Projectile,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub4,SceneObjectEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub4_Sub1,StaticObjectEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub4_Sub2,DynamicObjectEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub5,WallObjectEntityBase,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub5_Sub1,WallObjectEntity,core,high,approved,Imported from legacy classes map
Class318_Sub1_Sub5_Sub2,AnimatedWallObjectEntity,core,high,approved,Imported from legacy classes map
Class318_Sub2,ToolkitWorkItem,core,high,approved,Imported from legacy classes map
Class318_Sub3,PickHitboxSegment,core,high,approved,Imported from legacy classes map
Class318_Sub4,ScenePickBuffer,core,high,approved,Imported from legacy classes map
Class318_Sub5,OverheadText,core,high,approved,Imported from legacy classes map
Class318_Sub6,ActorIconBounds,core,high,approved,Imported from legacy classes map
Class318_Sub7,ParticleEmitterInstance,core,high,approved,Imported from legacy classes map
Class318_Sub8,WorldMapTileOverlay,core,high,approved,Imported from legacy classes map
Class318_Sub9,DualNode,core,high,approved,Imported from legacy classes map
Class318_Sub9_Sub1,FriendLoginUpdate,core,high,approved,Imported from legacy classes map
Class318_Sub9_Sub2,Particle,core,high,approved,Imported from legacy classes map
Class318_Sub9_Sub2_Sub1,ParticleInstance,core,high,approved,Imported from legacy classes map
Class319,GfxTypeList,core,high,approved,Imported from legacy classes map
Class32,LinkedNodeHashTable,core,high,approved,Imported from legacy classes map
Class320,WidgetGroupLoader,core,high,approved,Imported from legacy classes map
Class321,QuestType,core,high,approved,Imported from legacy classes map
Class322,ColorImageCache,core,high,approved,Imported from legacy classes map
Class323,WorldMapFont,core,high,approved,Imported from legacy classes map
Class324,FontRenderer,core,high,approved,Imported from legacy classes map
Class324_Sub1,SoftwareFontRenderer,core,high,approved,Imported from legacy classes map
Class324_Sub2,NativeToolkitFontRenderer,core,high,approved,Imported from legacy classes map
Class324_Sub3,SoftwarePalettedFontRenderer,core,high,approved,Imported from legacy classes map
Class324_Sub4,SoftwareAlphaFontRenderer,core,high,approved,Imported from legacy classes map
Class324_Sub5,OpenGLFontRenderer,core,high,approved,Imported from legacy classes map
Class325,VertexElementType,core,high,approved,Imported from legacy classes map
Class326,ParamTypeList,core,high,approved,Imported from legacy classes map
Class327,SleepAndFileUtil,core,high,approved,Imported from legacy classes map
Class328,ShaderAndClientScriptLoader,core,high,approved,Imported from legacy classes map
Class328_Sub1,PlayerUpdateList,core,high,approved,Imported from legacy classes map
Class328_Sub1_Sub1,KeyLogPacket,core,high,approved,Imported from legacy classes map
Class328_Sub2,LoadStateRegistry,core,high,approved,Imported from legacy classes map
Class328_Sub2_Sub1,FrameTimestampRing,core,high,approved,Imported from legacy classes map
Class328_Sub3,DelayedStateChangeUtil,core,high,approved,Imported from legacy classes map
Class329,PolygonScanlineFiller,core,high,approved,Imported from legacy classes map
Class33,EnumTypeList,core,high,approved,Imported from legacy classes map
Class330,NativeToolkitAlphaMaskManager,core,high,approved,Imported from legacy classes map
Class331,CubeMapUtil,core,high,approved,Imported from legacy classes map
Class332,DirtyRectangleUtil,core,high,approved,Imported from legacy classes map
Class333,HashTableIterator,core,high,approved,Imported from legacy classes map
Class334,PlatformUtil,core,high,approved,Imported from legacy classes map
Class335,AmbientSoundUpdater,core,high,approved,Imported from legacy classes map
Class336,RasterizerVerticalLine,core,high,approved,Imported from legacy classes map
Class337,OpenGLProgram,core,high,approved,Imported from legacy classes map
Class338,Occluder,core,high,approved,Imported from legacy classes map
Class339,NewsFetcher,core,high,approved,Imported from legacy classes map
Class34,IDKType,core,high,approved,Imported from legacy classes map
Class340,Js5MasterIndex,core,high,approved,Imported from legacy classes map
Class341,VerticalAlignment,core,high,approved,Imported from legacy classes map
Class342,ParticleEffectorConfig,core,high,approved,Imported from legacy classes map
Class343,VorbisResidue,core,high,approved,Imported from legacy classes map
Class344,AbstractByteArrayCopier,core,high,approved,Imported from legacy classes map
Class344_Sub1,DirectByteArrayCopier,core,high,approved,Imported from legacy classes map
Class345,ReferenceCacheEntryConverter,core,high,approved,Imported from legacy classes map
Class345_Sub1,SoftReferenceCacheEntryConverter,core,high,approved,Imported from legacy classes map
Class346,Keyboard,core,high,approved,Imported from legacy classes map
Class346_Sub1,AwtKeyboard,core,high,approved,Imported from legacy classes map
