file,old,new,phase,status,notes
client/refactor/world/scene/SceneGraphNode.java,method1941,getCachedSprite,cleanup,approved,Auto fallback from compile log: ItemTypeList.method1941->getCachedSprite
client/refactor/world/scene/SceneGraphNode.java,aPlayer_1907,localPlayer,cleanup,approved,Auto fallback from compile log: LoginManager.aPlayer_1907->localPlayer
client/refactor/world/scene/SceneGraphNode.java,aClass262_9931,pendingNodeQueue,cleanup,approved,Auto fallback from compile log: LoadingScreenScrollingBarOp.aClass262_9931->pendingNodeQueue
client/refactor/world/scene/SceneGraphNode.java,method1225,get,cleanup,approved,Auto fallback from compile log: MapElementTypeList.method1225->get
client/refactor/world/scene/SceneGraphNode.java,method373,isEnabledForVarDomain,cleanup,approved,Auto fallback from compile log: MapElementType.method373->isEnabledForVarDomain
client/refactor/world/scene/SceneGraphNode.java,method374,getMapSprite,cleanup,approved,Auto fallback from compile log: MapElementType.method374->getMapSprite
client/refactor/world/scene/SceneGraphNode.java,aClass324_4684,fontRenderer,cleanup,approved,Auto fallback from compile log: TooltipRenderer.aClass324_4684->fontRenderer
client/refactor/graphics/model/Model.java,anInt4365,localTypeCount,cleanup,approved,Auto fallback from compile log: QuickChatPhraseTypeList.anInt4365->localTypeCount
client/refactor/graphics/model/Model.java,anInt4364,globalTypeCount,cleanup,approved,Auto fallback from compile log: QuickChatPhraseTypeList.anInt4364->globalTypeCount
client/refactor/graphics/model/Model.java,method3471,get,cleanup,approved,Auto fallback from compile log: QuickChatPhraseTypeList.method3471->get
client/refactor/graphics/model/Model.java,method3219,getTemplatePreview,cleanup,approved,Auto fallback from compile log: QuickChatPhraseType.method3219->getTemplatePreview
client/refactor/graphics/model/Model.java,method1333,sortParallelStringsAndShorts,cleanup,approved,Auto fallback from compile log: ParticleEffectorType.method1333->sortParallelStringsAndShorts
client/refactor/graphics/toolkit/Toolkit.java,anInt1910,clipMinY,cleanup,approved,Auto fallback from compile log: LoginManager.anInt1910->clipMinY
client/refactor/graphics/toolkit/Toolkit.java,method2302,get,cleanup,approved,Auto fallback from compile log: LruHashTable.method2302->get
client/refactor/graphics/toolkit/Toolkit.java,method2305,put,cleanup,approved,Auto fallback from compile log: LruHashTable.method2305->put
client/refactor/graphics/toolkit/Toolkit.java,aByteArray9499,value,cleanup,approved,Auto fallback from compile log: ByteArraySecondaryNode.aByteArray9499->value
client/refactor/graphics/toolkit/Toolkit.java,method2000,createOpenGLToolkit,cleanup,approved,Auto fallback from compile log: NodeDeque.method2000->createOpenGLToolkit
client/refactor/config/SeqType.java,method839,getAnimFrames,cleanup,approved,Auto fallback from compile log: SeqTypeList.method839->getAnimFrames
client/refactor/config/SeqType.java,anInt1906,currentOrthoZoom,cleanup,approved,Auto fallback from compile log: LoginManager.anInt1906->currentOrthoZoom
client/refactor/config/SeqType.java,anInt1911,baseOrthoZoom,cleanup,approved,Auto fallback from compile log: LoginManager.anInt1911->baseOrthoZoom
client/refactor/cache/js5/Js5Index.java,method3389,readBytes,cleanup,approved,Auto fallback from compile log: JagBuffer.method3389->readBytes
client/refactor/cache/js5/Js5ArchiveProvider.java,method1995,first,cleanup,approved,Auto fallback from compile log: NodeDeque.method1995->first
client/refactor/cache/js5/Js5ArchiveProvider.java,method1990,next,cleanup,approved,Auto fallback from compile log: NodeDeque.method1990->next
client/refactor/cache/js5/Js5ArchiveProvider.java,method2880,removeSubStream,cleanup,approved,Auto fallback from compile log: PcmStreamMixer.method2880->removeSubStream
client/refactor/math/geom/BoundingCylinder.java,aBoolean3794,isMicrosoftJvm,cleanup,approved,Auto fallback from compile log: SignLink.aBoolean3794->isMicrosoftJvm
client/refactor/ui/widget/Widget.java,method583,get,cleanup,approved,Auto fallback from compile log: SoftLruCache.method583->get
client/refactor/ui/widget/Widget.java,method582,put,cleanup,approved,Auto fallback from compile log: SoftLruCache.method582->put
client/refactor/ui/widget/Widget.java,method2033,removeSoftReferences,cleanup,approved,Auto fallback from compile log: FloorOverlayTypeList.method2033->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1377,removeSoftReferences,cleanup,approved,Auto fallback from compile log: FloorUnderlayTypeList.method1377->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1204,removeSoftReferences,cleanup,approved,Auto fallback from compile log: IDKTypeList.method1204->removeSoftReferences
client/refactor/ui/widget/Widget.java,method2006,removeSoftReferences,cleanup,approved,Auto fallback from compile log: ObjectTypeList.method2006->removeSoftReferences
client/refactor/ui/widget/Widget.java,method2080,removeSoftReferences,cleanup,approved,Auto fallback from compile log: NpcTypeList.method2080->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1938,removeSoftReferences,cleanup,approved,Auto fallback from compile log: ItemTypeList.method1938->removeSoftReferences
client/refactor/ui/widget/Widget.java,method838,removeSoftReferences,cleanup,approved,Auto fallback from compile log: SeqTypeList.method838->removeSoftReferences
client/refactor/ui/widget/Widget.java,method2542,removeSoftReferences,cleanup,approved,Auto fallback from compile log: GfxTypeList.method2542->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1443,removeSoftReferences,cleanup,approved,Auto fallback from compile log: VarBitTypeList.method1443->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1590,removeSoftReferences,cleanup,approved,Auto fallback from compile log: VarPlayerTypeList.method1590->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1986,removeSoftReferences,cleanup,approved,Auto fallback from compile log: BASTypeList.method1986->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1174,removeSoftReferences,cleanup,approved,Auto fallback from compile log: MapSceneTypeList.method1174->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1222,removeSoftReferences,cleanup,approved,Auto fallback from compile log: MapElementTypeList.method1222->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1410,removeSoftReferences,cleanup,approved,Auto fallback from compile log: QuestTypeList.method1410->removeSoftReferences
client/refactor/ui/widget/Widget.java,method2602,removeSoftReferences,cleanup,approved,Auto fallback from compile log: ParamTypeList.method2602->removeSoftReferences
client/refactor/ui/widget/Widget.java,method816,removeSoftReferences,cleanup,approved,Auto fallback from compile log: SkyBoxTypeList.method816->removeSoftReferences
client/refactor/ui/widget/Widget.java,method302,removeSoftReferences,cleanup,approved,Auto fallback from compile log: SkyBoxSphereTypeList.method302->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1390,removeSoftReferences,cleanup,approved,Auto fallback from compile log: LightTypeList.method1390->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1283,removeSoftReferences,cleanup,approved,Auto fallback from compile log: CursorTypeList.method1283->removeSoftReferences
client/refactor/ui/widget/Widget.java,method694,removeSoftReferences,cleanup,approved,Auto fallback from compile log: ParamTableList.method694->removeSoftReferences
client/refactor/ui/widget/Widget.java,method1598,removeSoftReferences,cleanup,approved,Auto fallback from compile log: HitmarkTypeList.method1598->removeSoftReferences
client/refactor/ui/widget/Widget.java,method587,removeClearedSoftEntries,cleanup,approved,Auto fallback from compile log: SoftLruCache.method587->removeClearedSoftEntries
client/refactor/ui/widget/Widget.java,aClass60_6517,fullscreenLayoutCache,cleanup,approved,Auto fallback from compile log: LoadStateRegistry.aClass60_6517->fullscreenLayoutCache
client/refactor/ui/widget/Widget.java,method3480,get,cleanup,approved,Auto fallback from compile log: HashTable.method3480->get
client/refactor/ui/widget/Widget.java,anInt6976,value,cleanup,approved,Auto fallback from compile log: IntNode.anInt6976->value
client/refactor/ui/widget/Widget.java,aString7211,value,cleanup,approved,Auto fallback from compile log: StringNode.aString7211->value
