file,owner,method,signature_before,signature_after,op,param_index,new_name,match_text,phase,status,notes
net/packets/PacketConstants.java,PacketConstants,clearStaticState,(),(),drop_statement_contains,,,if (bool != true) RasterizerVerticalLine.recolorPalette = null;,cleanup,approved,Drop decompiler guard branch after move
ui/loading/LoadStateProcessor.java,LoadStateProcessor,clearStaticState,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg after move
ui/loading/LoadStateProcessor.java,LoadStateProcessor,clearStaticState,(),(),drop_statement_contains,,,if (i != -4587) clearStaticState(-101);,cleanup,approved,Drop recursive decompiler guard after move
ui/canvas/GameCanvas.java,GameCanvas,clearImageProcessingBuffers,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg after move
ui/canvas/GameCanvas.java,GameCanvas,clearImageProcessingBuffers,(),(),drop_statement_contains,,,if (i != 13022) NpcSpawnLoader.clearNpcSpawnPayloads(-79);,cleanup,approved,Drop decompiler guard line after move
ui/loading/LoadStateProcessor.java,LoadStateProcessor,getLoadedResourceCount,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg after move
ui/loading/LoadStateProcessor.java,LoadStateProcessor,getLoadedResourceCount,(),(),drop_statement_contains,,,if (i != 0) getLoadedResourceCount(101);,cleanup,approved,Drop recursive decompiler guard after move
cache/ColorImageCacheSlot.java,ColorImageCacheSlot,updateAudioState,byte,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg after move
cache/ColorImageCacheSlot.java,ColorImageCacheSlot,updateAudioState,(),(),drop_statement_contains,,,if (i != 33),cleanup,approved,Drop decompiler guard branch after move
util/text/AmountFormatUtil.java,AmountFormatUtil,formatAmountWithColorTags,"int,int",int,drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from amount formatter
util/text/AmountFormatUtil.java,AmountFormatUtil,formatAmountWithColorTags,int,int,drop_statement_contains,,,if (i >= -109) return null;,cleanup,approved,Drop decompiler guard line
collections/pool/ByteArrayPool.java,ByteArrayPool,releaseByteArray,"int,byte",byte,drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from release helper
collections/pool/ByteArrayPool.java,ByteArrayPool,releaseByteArray,byte,byte,drop_statement_contains,,,if (i != 0) acquireByteArray(-119, -101);,cleanup,approved,Drop decompiler guard line
collections/pool/ByteArrayPool.java,ByteArrayPool,acquireByteArray,"int,int",int,drop_param,1,,,cleanup,approved,Drop decompiler sentinel arg from acquire helper
collections/pool/ByteArrayPool.java,ByteArrayPool,acquireByteArray,int,int,drop_statement_contains,,,if (i_9_ != -1) acquireByteArray(-88, -45);,cleanup,approved,Drop decompiler guard line
audio/ClientHashAndSoundUtil.java,ClientHashAndSoundUtil,queueAreaSoundEffect,"int,int,int,int,int,int,int","int,int,int,int,int,int",drop_param,6,,,cleanup,approved,Drop decompiler sentinel arg from area sound queue helper
audio/ClientHashAndSoundUtil.java,ClientHashAndSoundUtil,queueAreaSoundEffect,"int,int,int,int,int,int","int,int,int,int,int,int",drop_statement_contains,,,if (i_8_ != -29494),cleanup,approved,Drop decompiler guard line from area sound queue helper
